bigram	score
initial lesson	25.02
high level	24.15
recent month	24.15
same people	24.15
dead body	24.15
press release	24.15
birth rate	24.15
indian state	24.15
current world	24.15
hot spot	24.15
assassination attempt	24.15
asymmetrical warfare	24.15
petroleum reserve	24.15
defense agreement	24.15
current peace	24.15
defense deal	24.15
sinhalese majority	24.15
civil war	24.15
peace talk	24.15
old one	24.15
international media	24.15
minimum requirement	24.15
afghan official	24.15
moldovan airline	24.15
old man	24.15
real morality	24.15
long way	24.15
metal music	24.15
real problem	24.15
more year	24.15
car accident	24.15
more people	24.15
human life	24.15
professional life	24.15
old baby	24.15
new generation	24.15
free speech	24.15
more power	24.15
real thing	24.15
further attack	24.15
biological agent	24.15
biochemical weapon	24.15
blind sheik	24.15
crop dusting	24.15
spore concentration	24.15
civil right	24.15
kind regards	24.15
option premium	24.15
such order	24.15
e-mail communication	24.15
employment agreement	24.15
tax return	24.15
independent bitmap	24.15
small amount	24.15
lunch today	24.15
final comment	24.15
cover letter	24.15
office today	24.15
big thing	24.15
pricing discrepancy	24.15
gas settlement	24.15
package v02	24.15
great day	24.15
tomorrow morning	24.15
few hour	24.15
work product	24.15
good regards	24.15
site cruise	24.15
credit support	24.15
support annex	24.15
isda master	24.15
business day	24.15
accessibility challenge	24.15
client expectation	24.15
expense report	24.15
last thing	24.15
management policy	24.15
blanket statement	24.15
unlimited access	24.15
llc agreement	24.15
late enovate	24.15
enovate risk	24.15
internal audit	24.15
audit area	24.15
language revision	24.15
direct access	24.15
legal specialist	24.15
it developer	24.15
access code	24.15
signoff process	24.15
intercompany account	24.15
position analysis	24.15
timely basis	24.15
extracurricular activity	24.15
right place	24.15
level education	24.15
level finance	24.15
finance course	24.15
monumental task	24.15
overall application	24.15
daily call	24.15
start date	24.15
back problem	24.15
federal government	24.15
formal plan	24.15
executive committee	24.15
downstream system	24.15
near future	24.15
ss number	24.15
release date	24.15
trader guideline	24.15
gas accord	24.15
other customer	24.15
good wish	24.15
long term	24.15
short term	24.15
short form	24.15
eei master	24.15
credit person	24.15
other comment	24.15
deal no.	24.15
hotline phone	24.15
electricity producer	24.15
federal official	24.15
insurance company	24.15
whole time	24.15
contact person	24.15
business transaction	24.15
oil revenue	24.15
emergency team	24.15
natural disaster	24.15
benefit fund	24.15
big city	24.15
infinite peace	24.15
federal judge	24.15
animal right	24.15
mailing list	24.15
mountain lion	24.15
racial diversity	24.15
family member	24.15
main puppet	24.15
political power	24.15
american military	24.15
case scenario	24.15
political cover	24.15
dioxide emission	24.15
percentage decline	24.15
same period	24.15
capital gain	24.15
dividend tax	24.15
digital camera	24.15
migrant visa	24.15
mouse poison	24.15
dry clay	24.15
old kitten	24.15
baby fish	24.15
jack dempsey	24.15
next door	24.15
boarding station	24.15
good person	24.15
other phone	24.15
mm film	24.15
cheap surgeon	24.15
high quality	24.15
cat food	24.15
old female	24.15
trail riding	24.15
protein skimmer	24.15
major difference	24.15
fish tank	24.15
cell phone	24.15
entire life	24.15
only place	24.15
cruise ship	24.15
modern m	24.15
perfect place	24.15
medical exam	24.15
light fixture	24.15
unique custom	24.15
scary movie	24.15
world cruise	24.15
melting point	24.15
new pet	24.15
first experience	24.15
german shepherd	24.15
golden wonder	24.15
fresh tap	24.15
tap water	24.15
great experience	24.15
weight loss	24.15
treatment option	24.15
garage door	24.15
driving school	24.15
great customer	24.15
excellent customer	24.15
friendly staff	24.15
great work	24.15
rude service	24.15
amazing picture	24.15
wedding day	24.15
mexican food	24.15
portion size	24.15
local business	24.15
nice people	24.15
excellent food	24.15
sale man	24.15
bad place	24.15
star hotel	24.15
bad service	24.15
bloody mary	24.15
different treatment	24.15
long line	24.15
same price	24.15
free parking	24.15
parking lot	24.15
dining experience	24.15
bedroom suite	24.15
dress name	24.15
wheel lock	24.15
grenade launcher	17.49
central issue	17.49
flat year	17.49
price forecast	17.49
word online	17.49
manual system	17.49
net ton	17.49
gis id	17.49
round interview	17.49
huge waste	17.49
perfect world	17.49
summer sea	17.49
sea ice	17.49
cinema industry	17.49
economic threat	17.49
bronze age	17.49
usb stick	17.49
plaster mold	17.49
dsl modem	17.49
tank heating	17.49
feathered foot	17.49
comb type	17.49
vent feather	17.49
long hair	17.49
cuban coffee	17.49
replacement screen	17.49
late point	17.49
iraqi government	16.68
clan elder	16.68
shiite element	16.68
junior officer	16.68
road block	16.68
american soldier	16.68
certain extent	16.68
early report	16.68
nuclear power	16.68
fair election	16.68
secret police	16.68
final settlement	16.68
nuclear war	16.68
iron fist	16.68
terrorist organization	16.68
muslim world	16.68
arab nationalist	16.68
pop quiz	16.68
strong supporter	16.68
security threat	16.68
american public	16.68
israeli security	16.68
big threat	16.68
conventional army	16.68
asymmetrical tactic	16.68
late 1980s	16.68
american invasion	16.68
real threat	16.68
military man	16.68
historical link	16.68
good position	16.68
sinhala ruler	16.68
strong hint	16.68
general election	16.68
indian life	16.68
indian peacekeeping	16.68
peacekeeping force	16.68
day visit	16.68
special envoy	16.68
military option	16.68
political situation	16.68
cultural genocide	16.68
human habitation	16.68
hindu population	16.68
building material	16.68
status quo	16.68
good solution	16.68
think tank	16.68
permanent member	16.68
enough point	16.68
news report	16.68
honorable discharge	16.68
fighter interceptor	16.68
interceptor pilot	16.68
media outlet	16.68
foreign power	16.68
former pastor	16.68
sexual abuse	16.68
young girl	16.68
dating advice	16.68
dog food	16.68
indian intelligence	16.68
political rally	16.68
absolute monarchy	16.68
glaring example	16.68
intelligence failure	16.68
military wing	16.68
security situation	16.68
old news	16.68
natural resource	16.68
military power	16.68
assault rifle	16.68
past decade	16.68
large town	16.68
balochi insurgent	16.68
indian hand	16.68
afghan soil	16.68
military officer	16.68
several day	16.68
political fallout	16.68
iranian official	16.68
other drug	16.68
early 1970s	16.68
young woman	16.68
campaign worker	16.68
time today	16.68
tracking mechanism	16.68
wall moment	16.68
polygamous group	16.68
government official	16.68
underage girl	16.68
state official	16.68
teen daughter	16.68
dead soldier	16.68
gullible idiot	16.68
terror group	16.68
intelligence official	16.68
education system	16.68
church morality	16.68
certain sign	16.68
hidden motive	16.68
extreme form	16.68
black metal	16.68
several month	16.68
high ground	16.68
inversion principle	16.68
20th century	16.68
degenerate art	16.68
detailed information	16.68
site today	16.68
own ego	16.68
arab conflict	16.68
breeding ground	16.68
outside world	16.68
business people	16.68
world conflict	16.68
media coverage	16.68
metal detector	16.68
concert hall	16.68
religious belief	16.68
supreme act	16.68
innocent people	16.68
drug dealer	16.68
humble opinion	16.68
same leader	16.68
western world	16.68
spiritual leader	16.68
huge amount	16.68
terrorist state	16.68
safe haven	16.68
free press	16.68
religious site	16.68
other aspect	16.68
phone conversation	16.68
chess player	16.68
terrorist act	16.68
european country	16.68
recent election	16.68
free election	16.68
small band	16.68
violent attack	16.68
egyptian leader	16.68
egyptian regime	16.68
key question	16.68
anthrax strain	16.68
terrorism official	16.68
modus operandi	16.68
biological attack	16.68
production plan	16.68
necessary expertise	16.68
final stage	16.68
crop duster	16.68
anthrax program	16.68
first stage	16.68
same week	16.68
electrostatic charge	16.68
hot pursuit	16.68
production program	16.68
birthday party	16.68
anthrax letter	16.68
early bombing	16.68
half year	16.68
river valley	16.68
media report	16.68
current data	16.68
admin coordinator	16.68
salary range	16.68
private equity	16.68
other idea	16.68
account vice	16.68
x365 fax	16.68
candidate cocktail	16.68
cocktail hour	16.68
only concern	16.68
overwhelming task	16.68
weekly meeting	16.68
base salary	16.68
year agreement	16.68
transmission expansion	16.68
happy hour	16.68
corporate tax	16.68
tax x35172	16.68
new organization	16.68
merchant asset	16.68
asset activity	16.68
analyst presentation	16.68
bowl game	16.68
sick college	16.68
college football	16.68
football fan	16.68
good restaurant	16.68
vacation time	16.68
fuel cell	16.68
cell energy	16.68
energy equipment	16.68
particular manufacturer	16.68
final deal	16.68
optionality bug	16.68
good stuff	16.68
west desk	16.68
global message	16.68
business controller	16.68
exception report	16.68
first draft	16.68
plain fact	16.68
expiration date	16.68
activity tomorrow	16.68
lead coordinator	16.68
transportation service	16.68
guest speaker	16.68
little help	16.68
performance review	16.68
pre-meeting web	16.68
time period	16.68
great weekend	16.68
good afternoon	16.68
notional quantity	16.68
calculation period	16.68
financial transaction	16.68
credit department	16.68
settlement date	16.68
product description	16.68
term sheet	16.68
return email	16.68
purchase agreement	16.68
project manager	16.68
next meeting	16.68
common sense	16.68
new truck	16.68
fuel consumption	16.68
year period	16.68
page today	16.68
initial reaction	16.68
slight revision	16.68
appropriate confidentiality	16.68
fine line	16.68
final revision	16.68
prompt attention	16.68
month lease	16.68
new baby	16.68
loan transaction	16.68
different thing	16.68
smart girl	16.68
several occasion	16.68
internet access	16.68
head up	16.68
major injury	16.68
emergency room	16.68
energy market	16.68
day side	16.68
side trip	16.68
legal counsel	16.68
day basis	16.68
incorrect liquidation	16.68
daily p&l	16.68
p&l #	16.68
end p&l	16.68
certain portion	16.68
large swing	16.68
second order	16.68
delta position	16.68
liquidation problem	16.68
whole issue	16.68
sr it	16.68
post id	16.68
liquidation report	16.68
liquidation value	16.68
positive liquidation	16.68
other day	16.68
legal issue	16.68
free number	16.68
electric generator	16.68
product immunity	16.68
legal rule	16.68
personal invitation	16.68
subscription agreement	16.68
name change	16.68
trading agreement	16.68
quarter end	16.68
position signoff	16.68
screen enquiry	16.68
trial balance	16.68
reconciling difference	16.68
audit timetable	16.68
internal balance	16.68
sheet review	16.68
key position	16.68
system p&l	16.68
business 23rd	16.68
obsf option	16.68
year end	16.68
q1 dpr	16.68
end q1	16.68
inventory balance	16.68
source documentation	16.68
mba program	16.68
competitive process	16.68
excellent graduate	16.68
admission office	16.68
monthly call	16.68
good point	16.68
different rate	16.68
service agreement	16.68
same request	16.68
particular chair	16.68
next trip	16.68
new market	16.68
budget meeting	16.68
market power	16.68
extensive experience	16.68
pipeline system	16.68
help desk	16.68
desk analyst	16.68
analyst job	16.68
aviation department	16.68
hangar attendant	16.68
past knowledge	16.68
technology feild	16.68
ets technology	16.68
technology department	16.68
personal use	16.68
preseason game	16.68
new password	16.68
cp id	16.68
appropriate step	16.68
gcp adjustment	16.68
effective date	16.68
termination date	16.68
end date	16.68
contractual currency	16.68
own name	16.68
counterparty name	16.68
afternoon session	16.68
social security	16.68
other company	16.68
execution team	16.68
comprehensive list	16.68
l/c wording	16.68
similar guideline	16.68
office tomorrow	16.68
settlement proposal	16.68
end user	16.68
capital project	16.68
happy holiday	16.68
few point	16.68
outside counsel	16.68
legal detail	16.68
folk review	16.68
message point	16.68
good comment	16.68
drilling project	16.68
well head	16.68
trading desk	16.68
standard isda	16.68
bus stop	16.68
little girl	16.68
first round	16.68
vast majority	16.68
power form	16.68
billing issue	16.68
interconnect agreement	16.68
final draft	16.68
reimbursable interconnect	16.68
payment plan	16.68
tax gross	16.68
gross up	16.68
tax department	16.68
final copy	16.68
metering facility	16.68
plan b	16.68
late response	16.68
telephony group	16.68
hotline number	16.68
solution center	16.68
service rep.	16.68
much notification	16.68
popup notification	16.68
critical message	16.68
testing schedule	16.68
delivery date	16.68
energy grid	16.68
energy crisis	16.68
power producer	16.68
public relation	16.68
new plan	16.68
federal commission	16.68
emergency request	16.68
power plant	16.68
such action	16.68
faith claim	16.68
faith proceedings	16.68
dispute management	16.68
design group	16.68
service offering	16.68
class action	16.68
collective body	16.68
new company	16.68
network marketing	16.68
new category	16.68
nutritional product	16.68
single serving	16.68
compensation plan	16.68
term viability	16.68
residual income	16.68
easy delivery	16.68
big toe	16.68
supreme consciousness	16.68
pocket knife	16.68
big company	16.68
main reason	16.68
front door	16.68
p.o. box	16.68
comp.sources.unix archive	16.68
urgent assistance	16.68
revenue source	16.68
petroleum asset	16.68
news agency	16.68
flood water	16.68
relief agency	16.68
death toll	16.68
crude oil	16.68
budget request	16.68
own webpage	16.68
tax payer	16.68
payer money	16.68
local competition	16.68
prize money	16.68
young child	16.68
trade deal	16.68
oil firm	16.68
great threat	16.68
next decade	16.68
universal mind	16.68
universal consciousness	16.68
deep space	16.68
infinite happiness	16.68
baba nam	16.68
nam kevalam	16.68
wordy meaning	16.68
gay marriage	16.68
family unit	16.68
religious group	16.68
gender marriage	16.68
much power	16.68
tragic flaw	16.68
numero uno	16.68
technological influence	16.68
ambitious space	16.68
new space	16.68
news group	16.68
entire letter	16.68
edit menu	16.68
gray wolf	16.68
several people	16.68
wolf pack	16.68
wolf recovery	16.68
endangered species	16.68
species list	16.68
weekly series	16.68
checkerspot butterfly	16.68
housing market	16.68
group activity	16.68
social life	16.68
most part	16.68
lucky break	16.68
career opportunity	16.68
spanish priest	16.68
white light	16.68
rock revolution	16.68
moral value	16.68
ego trip	16.68
promotional end	16.68
effeminate manners	16.68
bad musician	16.68
untalented band	16.68
new year	16.68
sunni faction	16.68
military strength	16.68
armored fighting	16.68
fighting vehicle	16.68
roadside bomb	16.68
weapon capability	16.68
american economy	16.68
dollar reserve	16.68
interest rate	16.68
price tag	16.68
many country	16.68
dangerous course	16.68
average number	16.68
greenhouse gas	16.68
mining industry	16.68
regulation rollback	16.68
approximate number	16.68
environmental crime	16.68
trust fund	16.68
toxic site	16.68
site clean	16.68
health problem	16.68
percentage increase	16.68
guard service	16.68
staff member	16.68
monthly cost	16.68
american firm	16.68
potable water	16.68
iraqi workforce	16.68
port security	16.68
hard money	16.68
tax cut	16.68
diplomacy officer	16.68
international aid	16.68
course search	16.68
insulting answer	16.68
night life	16.68
custom rom	16.68
left lead	16.68
dead pixel	16.68
long exposure	16.68
common one	16.68
outside cat	16.68
litter pan	16.68
many friend	16.68
gallon tank	16.68
hiding place	16.68
small tank	16.68
large fry	16.68
strong puller	16.68
modern one	16.68
young kid	16.68
hamster tomorrow	16.68
reservation office	16.68
student visa	16.68
visa process	16.68
good advice	16.68
pet rat	16.68
warm blanket	16.68
easy thing	16.68
good steak	16.68
amusement park	16.68
white bird	16.68
pet shop	16.68
bait worm	16.68
video tutorial	16.68
plastic surgeon	16.68
dry food	16.68
nutritional value	16.68
good quality	16.68
other stuff	16.68
favorite part	16.68
gallon nano	16.68
nano reef	16.68
few question	16.68
battery life	16.68
american food	16.68
good drink	16.68
new fish	16.68
hand grip	16.68
laser grip	16.68
semi-automatic wang	16.68
baby budgie	16.68
phone company	16.68
syrian hamster	16.68
nice place	16.68
old male	16.68
urinary tract	16.68
male cat	16.68
old cat	16.68
breyer horse	16.68
rat cage	16.68
wire flooring	16.68
corn snake	16.68
heat bulb	16.68
bridal shower	16.68
lifeboat drill	16.68
fun thing	16.68
shot burst	16.68
m 16	16.68
size horse	16.68
breeding tank	16.68
hide space	16.68
pass mark	16.68
minimum score	16.68
weekly basis	16.68
19th century	16.68
blood test	16.68
professional advice	16.68
sussex male	16.68
silkie female	16.68
hookless feather	16.68
soft feather	16.68
model girlfriend	16.68
distracting element	16.68
background element	16.68
close attention	16.68
irish custom	16.68
barn brack	16.68
most tourist	16.68
rabbit hutch	16.68
day time	16.68
chicken feed	16.68
reasonable melting	16.68
halal food	16.68
tourist town	16.68
medium rat	16.68
line up	16.68
dog trainer	16.68
many tourist	16.68
good hotel	16.68
good pet	16.68
weekly cage	16.68
cage cleaning	16.68
positive experience	16.68
delay birth	16.68
small place	16.68
private island	16.68
north coast	16.68
distinguishing factor	16.68
busy road	16.68
whole house	16.68
local restaurant	16.68
left leg	16.68
white rice	16.68
french dating	16.68
dating etiquette	16.68
heat lamp	16.68
first night	16.68
vietnamese government	16.68
sun ray	16.68
pet care	16.68
millet spray	16.68
early 20s	16.68
irish weather	16.68
wonder killifish	16.68
whole process	16.68
medicine vial	16.68
incubation water	16.68
microscopic critter	16.68
water treatment	16.68
animated cartoon	16.68
video show	16.68
family emergency	16.68
nerve damage	16.68
tooth problem	16.68
neurological sign	16.68
right lead	16.68
muscle atrophy	16.68
alternative therapy	16.68
lab work	16.68
tattoo shop	16.68
criminal attorney	16.68
old son	16.68
great doctor	16.68
back pain	16.68
happy customer	16.68
fantastic place	16.68
quality work	16.68
graphic design	16.68
great selection	16.68
wine tasting	16.68
fair price	16.68
closing time	16.68
hair style	16.68
lunch special	16.68
building contractor	16.68
few night	16.68
weekend staff	16.68
drink list	16.68
wrong dish	16.68
time ballerina	16.68
outstanding service	16.68
affordable price	16.68
take out	16.68
great help	16.68
whole thing	16.68
good dentist	16.68
good location	16.68
day charge	16.68
reasonable rate	16.68
hidden gem	16.68
good meal	16.68
amazing price	16.68
wonderful experience	16.68
second chance	16.68
thanks guy	16.68
specific type	16.68
low price	16.68
past year	16.68
cheap price	16.68
fantastic store	16.68
other store	16.68
printing need	16.68
moving company	16.68
fabulous job	16.68
antique lighting	16.68
custom lighting	16.68
lobster tail	16.68
part department	16.68
service department	16.68
first class	16.68
planning application	16.68
cute place	16.68
test drive	16.68
couple time	16.68
great staff	16.68
new job	16.68
emission test	16.68
past weekend	16.68
special event	16.68
lovely people	16.68
little man	16.68
style pizza	16.68
good quote	16.68
other shop	16.68
timely manner	16.68
towing service	16.68
new customer	16.68
home inspector	16.68
test result	16.68
car dealer	16.68
drug seeker	16.68
extra mile	16.68
good review	16.68
major award	16.68
market leader	16.68
state inspection	16.68
terrible service	16.68
tough time	16.68
counseling practice	16.68
pho house	16.68
sale manager	16.68
physical address	16.68
small salon	16.68
cigarette smoke	16.68
professional service	16.68
walking distance	16.68
good part	16.68
dental work	16.68
good salsa	16.68
car key	16.68
next morning	16.68
great store	16.68
single queen	16.68
wonderful service	16.68
first room	16.68
dissatisfied customer	16.68
other patient	16.68
great breakfast	16.68
first visit	16.68
entire staff	16.68
full price	16.68
ingrown toenail	16.68
collection agency	16.68
office staff	16.68
custom printing	16.68
good facility	16.68
little motel	16.68
foie gras	16.68
acupuncture doctor	16.68
1st treatment	16.68
third visit	16.68
room temperature	16.68
business owner	16.68
sweet potato	16.68
potato tempura	16.68
tempura roll	16.68
other review	16.68
real deal	16.68
gift certificate	16.68
check card	16.68
pizza roll	16.68
rear tire	16.68
client base	16.68
rude staff	16.68
hotel staff	16.68
auto repair	16.68
repair shop	16.68
social media	16.68
wedding guest	16.68
second room	16.68
sales guy	16.68
original piece	16.68
locker room	16.68
salon experience	16.68
poor customer	16.68
saintly instructor	16.68
good instructor	16.68
little restaurant	16.68
exact address	16.68
minute rate	16.68
coffee thing	16.68
unique food	16.68
warm chocolate	16.68
style number	16.68
correct tire	16.68
syrian border	8.74
respected cleric	8.74
iraqi authority	8.74
terrorist cell	8.74
level member	8.74
investment firm	8.74
bombing target	8.74
terror cell	8.74
police commander	8.74
big jump	8.74
cosmetic surgeon	8.74
car bomb	8.74
shiite population	8.74
main difference	8.74
assistant dean	8.74
past week	8.74
iraqi soldier	8.74
deputy commander	8.74
iraqi army	8.74
army uniform	8.74
arab clan	8.74
sunni observer	8.74
arab guerrilla	8.74
party list	8.74
civil office	8.74
legal grounds	8.74
shiite list	8.74
many seat	8.74
new parliament	8.74
same right	8.74
key eyewitness	8.74
several area	8.74
night curfew	8.74
american troops	8.74
same position	8.74
dream land	8.74
scared civilian	8.74
valiant civilian	8.74
bloody day	8.74
slum dweller	8.74
looting spree	8.74
public property	8.74
several convoy	8.74
shi'ite cleric	8.74
shia cleric	8.74
fallujan insurgents	8.74
top reporter	8.74
american sniper	8.74
pregnant woman	8.74
cluster bomb	8.74
unforgivable error	8.74
fallujan militant	8.74
enormous casualty	8.74
dead insurgent	8.74
islamic website	8.74
criminal action	8.74
whole world	8.74
motorcycle tour	8.74
nuclear disaster	8.74
own story	8.74
scientific evidence	8.74
significant radiation	8.74
related health	8.74
widespread myth	8.74
recent time	8.74
nuclear reactor	8.74
reactor accident	8.74
many thousand	8.74
extra cancer	8.74
cancer death	8.74
public health	8.74
last decade	8.74
significant increase	8.74
adult carcinoma	8.74
russian source	8.74
significant health	8.74
dramatic increase	8.74
thyroid cancer	8.74
reproductive health	8.74
neonatal health	8.74
post-accident period	8.74
negative tendency	8.74
morbidity rate	8.74
healthy child	8.74
radiation poisoning	8.74
own conclusion	8.74
many viewpoint	8.74
glandular problem	8.74
radiation therapy	8.74
old shoe	8.74
radiation xray	8.74
uncontaminated food	8.74
medical care	8.74
audio speech	8.74
top leadership	8.74
middle manager	8.74
close contact	8.74
officer corps	8.74
substantial number	8.74
military intelligence	8.74
major figure	8.74
right party	8.74
parliament seat	8.74
religious party	8.74
party coalition	8.74
joint government	8.74
military coup	8.74
political ally	8.74
major base	8.74
terrorist operation	8.74
crackpot scheme	8.74
arab mujahidin	8.74
pakistani government	8.74
more terrorism	8.74
bad element	8.74
fist policy	8.74
sophisticated bombing	8.74
general peace	8.74
effective pressure	8.74
hard line	8.74
recruiting tool	8.74
unnecessary provocation	8.74
genuine peace	8.74
own tactic	8.74
hostile territory	8.74
iraqi sympathizer	8.74
iraqi sovereignty	8.74
iraqi life	8.74
market fetishism	8.74
iraqi household	8.74
international force	8.74
rallying cry	8.74
sunni radical	8.74
former ball	8.74
cheap shot	8.74
own petard	8.74
international leader	8.74
sharp criticism	8.74
presidential nomination	8.74
international affair	8.74
affair pop	8.74
political reporter	8.74
partial response	8.74
pakistani general	8.74
recent coup	8.74
old democracy	8.74
military takeover	8.74
public opposition	8.74
fated instinct	8.74
authoritarian rule	8.74
nuclear giant	8.74
religious politics	8.74
dire security	8.74
nuclear brinkmanship	8.74
extreme duress	8.74
foreign affair	8.74
vital conflict	8.74
campaign literature	8.74
active leader	8.74
vital role	8.74
anti-american terrorism	8.74
iraqi instability	8.74
strong proponent	8.74
neoconservative supporter	8.74
national liberation	8.74
liberation movement	8.74
line policy	8.74
palestinian intifada	8.74
suicide bombing	8.74
international investment	8.74
lebanese territory	8.74
shiite party	8.74
armed fighter	8.74
israeli force	8.74
syrian territory	8.74
thorough assessment	8.74
security environment	8.74
likely effect	8.74
much evidence	8.74
palestinian suicide	8.74
suicide bomber	8.74
israeli occupation	8.74
economic consideration	8.74
scene overture	8.74
palestinian radical	8.74
late 1990s	8.74
weapon stockpile	8.74
ramshackle army	8.74
current instability	8.74
armed militia	8.74
substantial training	8.74
pro-palestinian feeling	8.74
ideological group	8.74
theocratic notion	8.74
israeli assassination	8.74
moral authority	8.74
shiite movement	8.74
iraqi petroleum	8.74
petroleum sale	8.74
shiite radical	8.74
arab fundamentalist	8.74
iraqi city	8.74
truck route	8.74
nationalist group	8.74
populist current	8.74
nationalist militia	8.74
security worry	8.74
private wealth	8.74
security interest	8.74
near annexation	8.74
indefinite postponement	8.74
palestinian state	8.74
unprecedented rage	8.74
pro-zionist right	8.74
twin occupation	8.74
defense cooperation	8.74
cooperation agreement	8.74
military involvement	8.74
violent strife	8.74
formal defense	8.74
year peace	8.74
military preparedness	8.74
indian support	8.74
lankan government	8.74
new bid	8.74
rebel stronghold	8.74
tamil rebel	8.74
rebel negotiator	8.74
norwegian envoy	8.74
door talk	8.74
international airport	8.74
salvage effort	8.74
diplomatic source	8.74
intractable position	8.74
army general	8.74
civil administration	8.74
military intervention	8.74
new defense	8.74
military commitment	8.74
only power	8.74
honest broker	8.74
peace accord	8.74
indian pressure	8.74
provincial council	8.74
indian peace	8.74
peace keeping	8.74
keeping force	8.74
indian soldier	8.74
strong critic	8.74
indian mediation	8.74
international initiative	8.74
negotiating table	8.74
aid package	8.74
package offer	8.74
tangible progress	8.74
frustrated man	8.74
visible lack	8.74
chief ideologue	8.74
ethnic conflict	8.74
donor conference	8.74
external force	8.74
recent visit	8.74
military brass	8.74
army chief	8.74
difficult circumstance	8.74
dirty work	8.74
neighborly help	8.74
hindu family	8.74
conciliatory statement	8.74
hawkish line	8.74
foreign policy	8.74
policy establishment	8.74
defensive capability	8.74
feasible solution	8.74
popular support	8.74
quixotic effort	8.74
indian part	8.74
third state	8.74
substantial autonomy	8.74
other location	8.74
service haven	8.74
overwhelming majority	8.74
jihadi segment	8.74
catastrophic defeat	8.74
indian troops	8.74
innocent jihadi	8.74
frequent boast	8.74
conciliatory gesture	8.74
numerous conference	8.74
indian control	8.74
own version	8.74
indian nationalism	8.74
free trip	8.74
many wrinkle	8.74
ed piece	8.74
business community	8.74
empty bout	8.74
saber rattling	8.74
only beneficiary	8.74
mythical perception	8.74
alternative investment	8.74
