bigram	score	is-math-concept
orthogonal group	109.05	0
constructible number	109.05	1
additional exercise	108.09	0
= b	108.09	0
projective line	108.09	0
unique factorization	108.09	1
finite number	108.09	1
proper subgroup	108.09	0
b r	108.09	0
matrix operation	108.09	1
group code	108.09	0
multiplication operation	108.09	0
different order	108.09	0
scalar multiple	108.09	0
monic polynomial	108.09	0
quadratic polynomial	108.09	0
integer solution	108.09	1
binary relation	108.09	0
logical structure	108.09	1
logical connective	108.09	1
above example	108.09	0
first line	108.09	0
disjoint set	108.09	0
single square	108.09	0
section i.	108.09	0
entire space	108.09	0
majority cycle	108.09	0
vector product	108.09	1
reduction matrix	108.09	1
sided inverse	108.09	0
similar matrix	108.09	1
orthogonal basis	108.09	0
projective geometry	108.09	0
sided die	101.96	0
= o	100.92	0
least element	99.96	0
such number	99.96	1
multiplicative inverse	99.96	0
linear group	99.96	1
finite order	99.96	0
many element	99.96	0
single element	99.96	0
n =	99.96	0
rsa cryptosystem	99.96	0
polynomial ring	99.96	1
standard generator	99.96	0
second equation	99.96	1
order 2p	99.96	0
c r	99.96	0
space group	99.96	0
subnormal series	99.96	1
same size	99.96	0
previous example	99.96	0
necessary condition	99.96	0
euclidean domain	99.96	0
correct proof	99.96	1
mathematical object	99.96	0
truth condition	99.96	0
other vertex	99.96	0
possible outcome	99.96	0
chip stack	99.96	0
original sequence	99.96	0
common ratio	99.96	0
rst chapter	99.96	0
bottom equation	99.96	1
next subsection	99.96	0
rst equation	99.96	1
z r	99.96	0
| c1	99.96	0
many vector	99.96	1
homogeneous linear	99.96	1
trivial space	99.96	0
real variable	99.96	1
first part	92.69	0
common multiple	92.69	0
proper subset	91.74	0
integer r	91.74	1
s =	91.74	0
perfect square	91.74	0
euclidean algorithm	91.74	0
absolute value	91.74	1
large integer	91.74	1
finite set	91.74	0
transmission error	91.74	0
triangular matrix	91.74	1
real root	91.74	1
n vector	91.74	1
separable extension	91.74	0
bch code	91.74	0
cubic polynomial	91.74	0
license notice	91.74	0
atomic statement	91.74	0
other number	91.74	1
connected graph	91.74	1
convex polyhedron	91.74	0
partial matching	91.74	0
multiplicative principle	91.74	0
same question	91.74	0
+1 =	91.74	0
rst column	91.74	1
form version	91.74	0
+ v2	91.74	0
= c11	91.74	0
preference list	91.74	0
elementary reduction	91.74	0
good t	91.74	0
central projection	91.74	0
antipodal spot	91.74	0
subdiagonal one	91.74	0
w2 vector	86.64	1
additive group	84.37	0
same row	84.37	1
vertex cover	84.37	0
+ ||	84.37	0
set x	83.43	0
small integer	83.43	1
nonempty subset	83.43	0
small element	83.43	0
+ r	83.43	0
nonabelian group	83.43	0
other element	83.43	0
disjoint cycle	83.43	0
|g| =	83.43	0
code c	83.43	0
m =	83.43	0
inner automorphism	83.43	0
wallpaper group	83.43	0
g =	83.43	0
normal series	83.43	1
usual operation	83.43	0
r +	83.43	0
prime ideal	83.43	0
cubic equation	83.43	1
factorization domain	83.43	1
euclidean valuation	83.43	0
u v	83.43	0
other set	83.43	0
u =	83.43	0
nonconstant polynomial	83.43	0
extension e	83.43	0
simple extension	83.43	0
molecular statement	83.43	0
whole number	83.43	1
logical equivalence	83.43	1
sub -	83.43	0
unique path	83.43	0
same element	83.43	0
many lattice	83.43	0
second card	83.43	0
digit hexadecimal	83.43	0
same answer	83.43	0
cookie type	83.43	0
constant sequence	83.43	0
same remainder	83.43	0
+ 2y	83.43	0
other vector	83.43	1
prior paragraph	83.43	1
reduced echelon	83.43	0
nonzero row	83.43	1
canonical representative	83.43	0
l0m0 t	83.43	0
matrix similarity	83.43	1
same partition	77.01	0
large bunny	77.01	0
side length	77.01	0
favorite number	75.94	1
mn matrix	75.94	1
unit cell	75.94	0
computer science	75.0	1
mathematical structure	75.0	0
output value	75.0	1
inverse function	75.0	1
= r	75.0	0
multiplication table	75.0	0
circle group	75.0	0
primitive nth	75.0	0
possible order	75.0	0
same length	75.0	0
prime p	75.0	0
first case	75.0	0
k =	75.0	0
same order	75.0	0
orthogonal matrix	75.0	1
orthonormal set	75.0	0
matrix addition	75.0	1
gaussian integer	75.0	1
constant polynomial	75.0	0
ideal domain	75.0	0
last term	75.0	1
preview activity	75.0	0
element set	75.0	0
universal generalization	75.0	0
magic bean	75.0	0
logical form	75.0	1
valid proof	75.0	1
top row	75.0	1
bottom row	75.0	1
different value	75.0	1
proof technique	75.0	1
edge relation	75.0	0
rooted tree	75.0	0
many path	75.0	0
th row	75.0	1
first card	75.0	0
order matter	75.0	0
small disk	75.0	0
many dot	75.0	0
constant difference	75.0	0
third difference	75.0	0
first difference	75.0	0
th component	75.0	1
t r	75.0	0
other row	75.0	1
euclidean geometry	75.0	0
v |	75.0	0
year use	75.0	0
tall vector	75.0	1
voting paradox	75.0	0
complete set	75.0	0
codomain basis	75.0	0
matrix representation	75.0	1
function composition	75.0	1
matrix product	75.0	1
orthonormal basis	75.0	0
determinant formula	75.0	1
expansion formula	75.0	1
euclidean plane	75.0	0
disjoint string	75.0	1
normal mode	75.0	0
copyright holder	67.38	0
green pepper	67.38	0
same sign	67.38	0
unit vector	67.38	1
chain condition	67.38	0
entire statement	66.45	0
set a	66.45	0
function f	66.45	1
exponential function	66.45	1
matrix p	66.45	1
set theory	66.45	0
= bq	66.45	0
p |	66.45	0
horizontal axis	66.45	0
first vertex	66.45	0
general linear	66.45	1
element g	66.45	0
ax =	66.45	0
polynomial equation	66.45	1
n letter	66.45	0
dihedral group	66.45	0
square root	66.45	0
parity check	66.45	0
basic property	66.45	0
ith column	66.45	1
negative integer	66.45	1
arbitrary element	66.45	0
other matrix	66.45	1
independent vector	66.45	1
point group	66.45	0
second edition	66.45	0
only element	66.45	0
division ring	66.45	1
evaluation homomorphism	66.45	0
small degree	66.45	1
quadratic equation	66.45	1
small field	66.45	0
irreducible element	66.45	0
upper bound	66.45	0
common factor	66.45	1
distinct root	66.45	0
free documentation	66.45	0
online version	66.45	0
second sequence	66.45	0
domino set	66.45	0
next section	66.45	0
right triangle	66.45	1
other direction	66.45	0
possible combination	66.45	0
universal quantifier	66.45	0
original implication	66.45	0
playing card	66.45	0
multiple time	66.45	0
more example	66.45	0
interior angle	66.45	1
standard deck	66.45	0
few number	66.45	1
distinct vertex	66.45	0
many face	66.45	0
regular polyhedron	66.45	0
-bit string	66.45	1
such string	66.45	1
license plate	66.45	0
first digit	66.45	0
alphabetical order	66.45	0
dependent set	66.45	0
donut shop	66.45	0
different combination	66.45	0
ternary digit	66.45	0
digit string	66.45	1
same eye	66.45	0
induction proof	66.45	1
complete truth	66.45	0
isomorphism class	66.45	0
= d1	66.45	0
high dimension	66.45	0
row reduction	66.45	1
nontrivial vector	66.45	1
same span	66.45	0
original matrix	66.45	1
same dimension	66.45	0
symmetric matrix	66.45	1
domain vector	66.45	1
single point	66.45	0
domain basis	66.45	0
rst matrix	66.45	1
diagonal entry	66.45	0
computer graphic	66.45	1
distinct eigenvalue	66.45	1
| |	59.78	0
mini bunny	58.68	0
ring failure	58.68	1
dmin =	58.68	0
regular tie	58.68	0
few example	57.76	0
last example	57.76	0
ax +	57.76	0
a c	57.76	0
similar argument	57.76	0
special type	57.76	0
unique element	57.76	0
element b	57.76	0
input value	57.76	1
b a.	57.76	0
binomial theorem	57.76	1
equivalent statement	57.76	0
nonzero integer	57.76	1
infinite number	57.76	1
composite number	57.76	1
computer program	57.76	0
identity element	57.76	1
natural operation	57.76	0
quaternion group	57.76	0
infinite order	57.76	0
h h	57.76	0
upc number	57.76	1
finite subgroup	57.76	0
distinct prime	57.76	0
cycle notation	57.76	0
odd permutation	57.76	0
sided polygon	57.76	0
cycle structure	57.76	0
key cryptosystem	57.76	0
encoding function	57.76	1
twentieth century	57.76	0
information bit	57.76	0
binary matrix	57.76	1
quotient group	57.76	0
matrix group	57.76	1
commutator subgroup	57.76	0
canonical homomorphism	57.76	0
wallpaper pattern	57.76	0
finite sequence	57.76	0
| e	57.76	0
n variable	57.76	0
characteristic p.	57.76	0
distinct zero	57.76	1
quartic equation	57.76	1
| b	57.76	0
same argument	57.76	0
absorption law	57.76	0
scalar product	57.76	0
+ y1	57.76	0
nvn =	57.76	0
linear dependence	57.76	1
second part	57.76	0
quadratic formula	57.76	1
polynomial factor	57.76	1
primitive element	57.76	0
transparent copy	57.76	0
multiple way	57.76	0
propositional logic	57.76	1
same suit	57.76	0
purple shirt	57.76	0
sided dice	57.76	0
edge incident	57.76	0
degree vertex	57.76	1
good start	57.76	0
adjacent vertex	57.76	0
small graph	57.76	1
handshake lemma	57.76	0
other half	57.76	0
same color	57.76	0
color theorem	57.76	1
relation class	57.76	0
matching condition	57.76	0
pascal triangle	57.76	1
different outcome	57.76	0
third letter	57.76	0
possible sequence	57.76	0
first kid	57.76	0
negative number	57.76	1
random experiment	57.76	0
fair coin	57.76	0
recursive formula	57.76	1
constant rate	57.76	0
many term	57.76	1
unit digit	57.76	0
last digit	57.76	0
product rule	57.76	0
= log	57.76	0
combination operation	57.76	0
next example	57.76	0
contradictory equation	57.76	1
z w	57.76	0
matrix notation	57.76	1
r v	57.76	0
w +	57.76	0
canonical position	57.76	0
only nonzero	57.76	1
class representative	57.76	0
c1 =	57.76	0
sized matrix	57.76	1
auto industry	57.76	0
voltage drop	57.76	0
v2 =	57.76	0
real entry	57.76	1
th power	57.76	0
wide row	57.76	1
prior exercise	57.76	0
natural basis	57.76	0
| c	57.76	0
plane subspace	57.76	0
equal row	57.76	1
same rank	57.76	0
preference order	57.76	0
projection map	57.76	1
derivative map	57.76	1
homomorphism h	57.76	0
unit matrix	57.76	1
second sentence	57.76	0
identity form	57.76	1
partial identity	57.76	1
orthogonal vector	57.76	1
orthogonal complement	57.76	0
geometric eect	57.76	0
magic number	57.76	1
similarity diagram	57.76	0
geometric multiplicity	57.76	0
vertical motion	57.76	0
rotational motion	57.76	0
integer entry	49.81	1
m bit	49.81	0
first coordinate	49.81	0
= d	49.81	0
rectangular chocolate	49.81	0
vertical line	49.81	0
middle class	49.81	0
world population	49.81	0
= a.	48.9	0
= a	48.9	0
a b	48.9	0
b b	48.9	0
map g	48.9	1
inverse map	48.9	1
next theorem	48.9	1
differentiable function	48.9	1
= c1	48.9	0
= p	48.9	0
nonempty set	48.9	0
first course	48.9	0
building block	48.9	0
group element	48.9	0
special linear	48.9	1
third condition	48.9	0
z +	48.9	0
nontrivial subgroup	48.9	0
such integer	48.9	1
ordered pair	48.9	0
large power	48.9	0
symmetric group	48.9	1
even permutation	48.9	0
second vertex	48.9	0
element r	48.9	0
motion group	48.9	0
order n.	48.9	0
= x	48.9	0
own word	48.9	0
cycle decomposition	48.9	0
encoding key	48.9	0
other case	48.9	0
ascii character	48.9	0
most n	48.9	0
matrix h.	48.9	1
information position	48.9	0
first task	48.9	0
same area	48.9	0
glide reflection	48.9	0
second case	48.9	0
low term	48.9	1
i =	48.9	0
arbitrary set	48.9	0
stabilizer subgroup	48.9	0
same value	48.9	1
input variable	48.9	0
different element	48.9	0
prime p.	48.9	0
number system	48.9	1
distributive law	48.9	0
particular set	48.9	0
small value	48.9	1
minimal degree	48.9	1
depressed cubic	48.9	0
general statement	48.9	0
primitive polynomial	48.9	0
complete proof	48.9	1
large element	48.9	0
parallel circuit	48.9	0
single number	48.9	1
algebraic closure	48.9	1
linear polynomial	48.9	1
point p	48.9	0
intersection point	48.9	0
separable polynomial	48.9	0
rational function	48.9	1
radical extension	48.9	0
free software	48.9	0
builder notation	48.9	0
many number	48.9	1
same statement	48.9	0
right angle	48.9	1
green vest	48.9	0
red shoe	48.9	0
final column	48.9	1
different row	48.9	1
second set	48.9	0
special name	48.9	0
proper vertex	48.9	0
same vertex	48.9	0
set =	48.9	0
small tree	48.9	0
regular polyhedra	48.9	0
radio station	48.9	0
odd cycle	48.9	0
many pizza	48.9	0
second digit	48.9	0
second one	48.9	0
first event	48.9	0
second event	48.9	0
card outcome	48.9	0
more set	48.9	0
counting technique	48.9	0
correct answer	48.9	0
many cookie	48.9	0
next row	48.9	1
second line	48.9	0
few value	48.9	1
conditional probability	48.9	0
random number	48.9	1
own hat	48.9	0
common difference	48.9	0
second term	48.9	1
second derivative	48.9	1
formal proof	48.9	1
eye color	48.9	0
rst example	48.9	0
reduction step	48.9	0
form system	48.9	0
| z	48.9	0
matrix entry	48.9	1
low row	48.9	1
vector sum	48.9	1
rst subsection	48.9	0
rst section	48.9	0
l =	48.9	0
product operation	48.9	0
second column	48.9	1
upper left	48.9	0
prior result	48.9	0
steel industry	48.9	0
total output	48.9	0
total production	48.9	0
upper right	48.9	0
number multiplication	48.9	1
real coecient	48.9	1
b2 sin	48.9	0
inherited operation	48.9	0
proper subspace	48.9	0
coecient c1	48.9	0
same vector	48.9	1
other basis	48.9	0
+ c22	48.9	0
basis b1	48.9	0
full column	48.9	1
cyclic preference	48.9	0
opposite preference	48.9	0
w1 vector	48.9	1
basis element	48.9	0
matrix time	48.9	1
rst sentence	48.9	0
starting basis	48.9	0
equivalent matrix	48.9	1
plane gure	48.9	0
|t| =	48.9	0
gray line	48.9	0
plane z	48.9	0
same eigenvalue	48.9	1
v c	48.9	0
single eigenvalue	48.9	1
d |	40.74	0
other time	40.74	0
r3 r3	40.74	0
change volume	40.74	0
next month	40.74	0
later version	39.85	0
following statement	39.85	0
capital letter	39.85	0
set b	39.85	0
x b	39.85	0
odd integer	39.85	1
bijective map	39.85	1
= n2	39.85	0
| b.	39.85	0
+ bs	39.85	0
important result	39.85	0
important role	39.85	0
n2 =	39.85	0
n element	39.85	0
multiplicative identity	39.85	1
different arrangement	39.85	0
integer z	39.85	1
differential equation	39.85	1
entire group	39.85	0
trivial subgroup	39.85	0
different group	39.85	0
h2 h	39.85	0
second condition	39.85	0
inverse h1	39.85	0
detection scheme	39.85	0
isbn code	39.85	0
small subgroup	39.85	0
interesting question	39.85	0
number z	39.85	1
|z| =	39.85	0
polar coordinate	39.85	0
r cis	39.85	0
unit circle	39.85	0
identity permutation	39.85	1
single vertex	39.85	0
first question	39.85	0
length k.	39.85	0
secret message	39.85	0
plaintext message	39.85	0
encoded message	39.85	0
frequency analysis	39.85	1
large matrix	39.85	1
non -	39.85	0
even parity	39.85	0
multiple error	39.85	0
symmetric channel	39.85	1
probability p	39.85	0
minimum weight	39.85	0
last m	39.85	0
matrix g	39.85	1
coset leader	39.85	0
possible syndrome	39.85	0
regular representation	39.85	0
second coordinate	39.85	0
first problem	39.85	0
p prime	39.85	0
possible case	39.85	0
ad bc	39.85	0
+ y2	39.85	0
b2 =	39.85	0
euclidean group	39.85	0
translation subgroup	39.85	0
semidirect product	39.85	0
principal series	39.85	1
centralizer subgroup	39.85	0
possible coloring	39.85	1
possible switching	39.85	0
automorphism group	39.85	0
distinct element	39.85	0
p divide	39.85	0
|h k|	39.85	0
only possibility	39.85	0
multiply element	39.85	0
+ cj	39.85	0
usual matrix	39.85	1
n1 =	39.85	0
= a1	39.85	0
associative law	39.85	0
factor ring	39.85	1
set p	39.85	0
b z	39.85	0
additive identity	39.85	1
more variable	39.85	0
deg p(x	39.85	0
previous chapter	39.85	0
ascending chain	39.85	0
last step	39.85	0
infinite field	39.85	0
prime subfield	39.85	0
characteristic p	39.85	0
usual meaning	39.85	0
lattice l	39.85	0
o =	39.85	0
electrical circuit	39.85	0
boolean expression	39.85	1
same function	39.85	1
algebraic property	39.85	1
polynomial addition	39.85	0
nontrivial solution	39.85	0
dim v	39.85	0
set v	39.85	0
dual space	39.85	0
algebraic number	39.85	1
closed field	39.85	0
new point	39.85	0
t +	39.85	0
generator polynomial	39.85	0
last column	39.85	1
c1 t	39.85	0
original system	39.85	0
fixed field	39.85	0
network location	39.85	0
many prime	39.85	0
same type	39.85	0
next page	39.85	0
simple example	39.85	0
many handshake	39.85	0
unordered collection	39.85	0
same truth	39.85	0
first set	39.85	0
small domain	39.85	0
first row	39.85	1
regular deck	39.85	0
sufficient condition	39.85	0
existential quantifier	39.85	0
valid puzzle	39.85	0
open square	39.85	0
general form	39.85	0
different digit	39.85	0
center square	39.85	0
careful proof	39.85	1
element chasing	39.85	0
many coin	39.85	0
different spanning	39.85	0
first search	39.85	0
planar representation	39.85	0
equal number	39.85	1
same sort	39.85	0
horizontal asymptote	39.85	0
adjacency matrix	39.85	1
vertex coloring	39.85	1
middle graph	39.85	1
graph ?	39.85	1
maximum degree	39.85	1
consecutive letter	39.85	0
inverse relation	39.85	0
single set	39.85	0
empty subset	39.85	0
minimal vertex	39.85	0
straight line	39.85	0
different path	39.85	0
previous section	39.85	0
such set	39.85	0
many string	39.85	1
| ||	39.85	0
- string	39.85	1
- word	39.85	0
many route	39.85	0
bottom chip	39.85	0
bective function	39.85	1
pizza topping	39.85	0
second way	39.85	0
many set	39.85	0
distinct digit	39.85	0
stone diagram	39.85	0
identity 	39.85	1
alternative proof	39.85	1
alternate proof	39.85	1
uniform probability	39.85	0
probability distribution	39.85	0
original label	39.85	0
animal cracker	39.85	0
next chapter	39.85	0
square number	39.85	1
summation notation	39.85	1
ternary string	39.85	1
candy machine	39.85	0
large hook	39.85	0
th difference	39.85	0
previous exercise	39.85	0
extra point	39.85	0
-square bar	39.85	0
small bar	39.85	0
distinct power	39.85	0
many example	39.85	0
modular arithmetic	39.85	0
+ 2w	39.85	0
more equation	39.85	1
back substitution	39.85	0
wohascum no	39.85	0
n column	39.85	1
third component	39.85	1
vector notation	39.85	1
parameter solution	39.85	0
| r	39.85	0
prior part	39.85	0
v r	39.85	0
trivial sum	39.85	1
same direction	39.85	0
| t	39.85	0
rst vector	39.85	1
matrix row	39.85	1
double precision	39.85	0
partial pivoting	39.85	0
parallel portion	39.85	0
number addition	39.85	1
tall column	39.85	1
number variable	39.85	1
prior one	39.85	0
dierential equation	39.85	1
usual addition	39.85	0
d r	39.85	0
same subspace	39.85	0
minimal spanning	39.85	0
nite set	39.85	0
dependent superset	39.85	0
dierent order	39.85	0
dierent basis	39.85	0
rst half	39.85	0
hand matrix	39.85	1
full row	39.85	1
mock election	39.85	0
relevant quantity	39.85	0
image vector	39.85	1
domain v	39.85	0
r3 r	39.85	0
second map	39.85	1
| v	39.85	0
map rank	39.85	1
image set	39.85	0
map action	39.85	1
codomain space	39.85	0
map inverse	39.85	1
output vector	39.85	1
such matrix	39.85	1
main diagonal	39.85	0
third column	39.85	1
inverse matrix	39.85	1
column operation	39.85	1
same determinant	39.85	1
cross product	39.85	0
above matrix	39.85	1
single entry	39.85	0
vector equation	39.85	1
movie projector	39.85	0
diagonal form	39.85	0
nonzero eigenvector	39.85	1
algebraic multiplicity	39.85	1
generalized range	39.85	0
nilpotent transformation	39.85	0
nilpotent map	39.85	1
invariant subspace	39.85	0
random surfer	39.85	0
private communication	39.85	0
same change	31.42	0
ohm resistor	31.42	0
several decade	30.56	0
semester course	30.56	0
field theory	30.56	0
good rule	30.56	0
main result	30.56	0
certain property	30.56	0
other relation	30.56	0
n time	30.56	0
function g	30.56	1
alternative way	30.56	0
c c	30.56	0
such function	30.56	1
r t	30.56	0
x y	30.56	0
infinite set	30.56	0
integer k	30.56	1
well understanding	30.56	0
small member	30.56	0
bq +	30.56	0
r r.	30.56	0
last equation	30.56	1
number p	30.56	1
golden ratio	30.56	0
many statement	30.56	0
natural question	30.56	0
set g	30.56	0
additional property	30.56	0
other group	30.56	0
infinite group	30.56	0
commutative group	30.56	0
own right	30.56	0
addition table	30.56	0
same group	30.56	0
z c	30.56	0
digit code	30.56	0
valid upc	30.56	0
transposition error	30.56	0
positive power	30.56	0
= e	30.56	0
imaginary part	30.56	0
rectangular representation	30.56	0
polar representation	30.56	0
8th root	30.56	0
binary representation	30.56	0
5th root	30.56	0
unique way	30.56	0
r transposition	30.56	0
own inverse	30.56	0
new product	30.56	0
other product	30.56	0
group a4	30.56	0
chapter exercise	30.56	0
other mathematician	30.56	0
group multiplication	30.56	0
k -	30.56	0
great mathematician	30.56	0
same cycle	30.56	0
encryption function	30.56	1
same key	30.56	0
shift code	30.56	0
simple shift	30.56	0
monoalphabetic cryptosystem	30.56	0
decoding function	30.56	1
plaintext letter	30.56	0
decrypting key	30.56	0
large prime	30.56	0
= pq	30.56	0
encryption key	30.56	0
sixteenth century	30.56	0
rsa message	30.56	0
trial division	30.56	0
leftmost bit	30.56	0
third bit	30.56	0
error pattern	30.56	0
particular code	30.56	0
algebraic geometry	30.56	1
column matrix	30.56	1
fourth bit	30.56	0
first bit	30.56	0
= c	30.56	0
same coset	30.56	0
correction capability	30.56	0
check position	30.56	0
possible number	30.56	1
many group	30.56	0
z g	30.56	0
mathematical research	30.56	0
disjoint product	30.56	0
natural generalization	30.56	0
homomorphic image	30.56	0
number r	30.56	1
unique isomorphism	30.56	0
basic fact	30.56	0
same lattice	30.56	0
many space	30.56	0
translation group	30.56	0
group h	30.56	0
crystallographic group	30.56	1
maximal order	30.56	0
left multiplication	30.56	0
point set	30.56	0
identity fix	30.56	1
interesting application	30.56	0
theory problem	30.56	0
single output	30.56	0
boolean function	30.56	1
possible output	30.56	0
vertex set	30.56	0
hydrogen atom	30.56	0
divide |g|	30.56	0
prime dividing	30.56	0
