bigram	score	is-math-concept
biochemical weapon	24.15	0
blind sheik	24.15	0
crop dusting	24.15	0
spore concentration	24.15	0
civil right	24.15	0
kind regards	24.15	0
option premium	24.15	0
such order	24.15	0
e-mail communication	24.15	0
employment agreement	24.15	0
tax return	24.15	0
independent bitmap	24.15	0
small amount	24.15	0
lunch today	24.15	0
final comment	24.15	0
cover letter	24.15	0
office today	24.15	0
big thing	24.15	0
pricing discrepancy	24.15	0
gas settlement	24.15	0
package v02	24.15	0
great day	24.15	0
tomorrow morning	24.15	0
few hour	24.15	0
work product	24.15	0
good regards	24.15	0
site cruise	24.15	0
credit support	24.15	0
support annex	24.15	0
isda master	24.15	0
business day	24.15	0
accessibility challenge	24.15	0
client expectation	24.15	0
expense report	24.15	0
last thing	24.15	0
management policy	24.15	0
blanket statement	24.15	0
unlimited access	24.15	0
llc agreement	24.15	0
late enovate	24.15	0
enovate risk	24.15	0
internal audit	24.15	0
audit area	24.15	0
language revision	24.15	0
direct access	24.15	0
legal specialist	24.15	0
it developer	24.15	0
access code	24.15	0
signoff process	24.15	0
intercompany account	24.15	0
position analysis	24.15	0
timely basis	24.15	0
extracurricular activity	24.15	0
right place	24.15	0
level education	24.15	0
level finance	24.15	0
finance course	24.15	0
monumental task	24.15	0
overall application	24.15	0
daily call	24.15	0
start date	24.15	0
back problem	24.15	0
federal government	24.15	0
formal plan	24.15	0
executive committee	24.15	0
downstream system	24.15	0
near future	24.15	0
ss number	24.15	0
release date	24.15	0
trader guideline	24.15	0
gas accord	24.15	0
other customer	24.15	0
good wish	24.15	0
long term	24.15	0
short term	24.15	0
short form	24.15	0
eei master	24.15	0
credit person	24.15	0
other comment	24.15	0
deal no.	24.15	0
hotline phone	24.15	0
electricity producer	24.15	0
federal official	24.15	0
insurance company	24.15	0
whole time	24.15	0
contact person	24.15	0
business transaction	24.15	0
oil revenue	24.15	0
emergency team	24.15	0
natural disaster	24.15	0
benefit fund	24.15	0
big city	24.15	0
infinite peace	24.15	0
federal judge	24.15	0
animal right	24.15	0
mailing list	24.15	0
mountain lion	24.15	0
racial diversity	24.15	0
family member	24.15	0
main puppet	24.15	0
political power	24.15	0
american military	24.15	0
case scenario	24.15	0
political cover	24.15	0
dioxide emission	24.15	0
percentage decline	24.15	0
same period	24.15	0
capital gain	24.15	0
dividend tax	24.15	0
digital camera	24.15	0
migrant visa	24.15	0
mouse poison	24.15	0
dry clay	24.15	0
old kitten	24.15	0
baby fish	24.15	0
jack dempsey	24.15	0
next door	24.15	0
boarding station	24.15	0
good person	24.15	0
other phone	24.15	0
mm film	24.15	0
cheap surgeon	24.15	0
high quality	24.15	0
cat food	24.15	0
old female	24.15	0
trail riding	24.15	0
protein skimmer	24.15	0
major difference	24.15	0
fish tank	24.15	0
cell phone	24.15	0
entire life	24.15	0
only place	24.15	0
cruise ship	24.15	0
modern m	24.15	0
perfect place	24.15	0
medical exam	24.15	0
light fixture	24.15	0
unique custom	24.15	0
scary movie	24.15	0
world cruise	24.15	0
melting point	24.15	0
new pet	24.15	0
first experience	24.15	0
german shepherd	24.15	0
golden wonder	24.15	0
fresh tap	24.15	0
tap water	24.15	0
great experience	24.15	0
weight loss	24.15	0
treatment option	24.15	0
garage door	24.15	0
driving school	24.15	0
great customer	24.15	0
excellent customer	24.15	0
friendly staff	24.15	0
great work	24.15	0
rude service	24.15	0
amazing picture	24.15	0
wedding day	24.15	0
mexican food	24.15	0
portion size	24.15	0
local business	24.15	0
nice people	24.15	0
excellent food	24.15	0
sale man	24.15	0
bad place	24.15	0
star hotel	24.15	0
bad service	24.15	0
bloody mary	24.15	0
different treatment	24.15	0
long line	24.15	0
same price	24.15	0
free parking	24.15	0
parking lot	24.15	0
dining experience	24.15	0
bedroom suite	24.15	0
dress name	24.15	0
wheel lock	24.15	0
grenade launcher	17.49	0
central issue	17.49	0
flat year	17.49	0
price forecast	17.49	0
word online	17.49	0
manual system	17.49	0
net ton	17.49	0
gis id	17.49	0
round interview	17.49	0
huge waste	17.49	0
perfect world	17.49	0
summer sea	17.49	0
sea ice	17.49	0
cinema industry	17.49	0
economic threat	17.49	0
bronze age	17.49	0
usb stick	17.49	0
plaster mold	17.49	0
dsl modem	17.49	0
tank heating	17.49	0
feathered foot	17.49	0
comb type	17.49	0
vent feather	17.49	0
long hair	17.49	0
cuban coffee	17.49	0
replacement screen	17.49	0
late point	17.49	0
iraqi government	16.68	0
clan elder	16.68	0
shiite element	16.68	0
junior officer	16.68	0
road block	16.68	0
american soldier	16.68	0
certain extent	16.68	0
early report	16.68	0
nuclear power	16.68	0
fair election	16.68	0
secret police	16.68	0
final settlement	16.68	0
nuclear war	16.68	0
iron fist	16.68	0
terrorist organization	16.68	0
muslim world	16.68	0
arab nationalist	16.68	0
pop quiz	16.68	0
strong supporter	16.68	0
security threat	16.68	0
american public	16.68	0
israeli security	16.68	0
big threat	16.68	0
conventional army	16.68	0
asymmetrical tactic	16.68	0
late 1980s	16.68	0
american invasion	16.68	0
real threat	16.68	0
military man	16.68	0
historical link	16.68	0
good position	16.68	0
sinhala ruler	16.68	0
strong hint	16.68	0
general election	16.68	0
indian life	16.68	0
indian peacekeeping	16.68	0
peacekeeping force	16.68	0
day visit	16.68	0
special envoy	16.68	0
military option	16.68	0
political situation	16.68	0
cultural genocide	16.68	0
human habitation	16.68	0
hindu population	16.68	0
building material	16.68	0
status quo	16.68	0
good solution	16.68	0
think tank	16.68	0
permanent member	16.68	0
enough point	16.68	0
news report	16.68	0
honorable discharge	16.68	0
fighter interceptor	16.68	0
interceptor pilot	16.68	0
media outlet	16.68	0
foreign power	16.68	0
former pastor	16.68	0
sexual abuse	16.68	0
young girl	16.68	0
dating advice	16.68	0
dog food	16.68	0
indian intelligence	16.68	0
political rally	16.68	0
absolute monarchy	16.68	0
glaring example	16.68	0
intelligence failure	16.68	0
military wing	16.68	0
security situation	16.68	0
old news	16.68	0
natural resource	16.68	0
military power	16.68	0
assault rifle	16.68	0
past decade	16.68	0
large town	16.68	0
balochi insurgent	16.68	0
indian hand	16.68	0
afghan soil	16.68	0
military officer	16.68	0
several day	16.68	0
political fallout	16.68	0
iranian official	16.68	0
other drug	16.68	0
early 1970s	16.68	0
young woman	16.68	0
campaign worker	16.68	0
time today	16.68	0
tracking mechanism	16.68	0
wall moment	16.68	0
polygamous group	16.68	0
government official	16.68	0
underage girl	16.68	0
state official	16.68	0
teen daughter	16.68	0
dead soldier	16.68	0
gullible idiot	16.68	0
terror group	16.68	0
intelligence official	16.68	0
education system	16.68	0
church morality	16.68	0
certain sign	16.68	0
hidden motive	16.68	0
extreme form	16.68	0
black metal	16.68	0
several month	16.68	0
high ground	16.68	0
inversion principle	16.68	0
20th century	16.68	0
degenerate art	16.68	0
detailed information	16.68	0
site today	16.68	0
own ego	16.68	0
arab conflict	16.68	0
breeding ground	16.68	0
outside world	16.68	0
business people	16.68	0
world conflict	16.68	0
media coverage	16.68	0
metal detector	16.68	0
concert hall	16.68	0
religious belief	16.68	0
supreme act	16.68	0
innocent people	16.68	0
drug dealer	16.68	0
humble opinion	16.68	0
same leader	16.68	0
western world	16.68	0
spiritual leader	16.68	0
huge amount	16.68	0
terrorist state	16.68	0
safe haven	16.68	0
free press	16.68	0
religious site	16.68	0
other aspect	16.68	0
phone conversation	16.68	0
chess player	16.68	0
terrorist act	16.68	0
european country	16.68	0
recent election	16.68	0
free election	16.68	0
small band	16.68	0
violent attack	16.68	0
egyptian leader	16.68	0
egyptian regime	16.68	0
key question	16.68	0
anthrax strain	16.68	0
terrorism official	16.68	0
modus operandi	16.68	0
biological attack	16.68	0
production plan	16.68	0
necessary expertise	16.68	0
final stage	16.68	0
crop duster	16.68	0
anthrax program	16.68	0
first stage	16.68	0
same week	16.68	0
electrostatic charge	16.68	0
hot pursuit	16.68	0
production program	16.68	0
birthday party	16.68	0
anthrax letter	16.68	0
early bombing	16.68	0
half year	16.68	0
river valley	16.68	0
media report	16.68	0
current data	16.68	0
admin coordinator	16.68	0
salary range	16.68	0
private equity	16.68	0
other idea	16.68	0
account vice	16.68	0
x365 fax	16.68	0
candidate cocktail	16.68	0
cocktail hour	16.68	0
only concern	16.68	0
overwhelming task	16.68	0
weekly meeting	16.68	0
base salary	16.68	0
year agreement	16.68	0
transmission expansion	16.68	0
happy hour	16.68	0
corporate tax	16.68	0
tax x35172	16.68	0
new organization	16.68	0
merchant asset	16.68	0
asset activity	16.68	0
analyst presentation	16.68	0
bowl game	16.68	0
sick college	16.68	0
college football	16.68	0
football fan	16.68	0
good restaurant	16.68	0
vacation time	16.68	0
fuel cell	16.68	0
cell energy	16.68	0
energy equipment	16.68	0
particular manufacturer	16.68	0
final deal	16.68	0
optionality bug	16.68	0
good stuff	16.68	0
west desk	16.68	0
global message	16.68	0
business controller	16.68	0
exception report	16.68	0
first draft	16.68	0
plain fact	16.68	0
expiration date	16.68	0
activity tomorrow	16.68	0
lead coordinator	16.68	0
transportation service	16.68	0
guest speaker	16.68	0
little help	16.68	0
performance review	16.68	0
pre-meeting web	16.68	0
time period	16.68	0
great weekend	16.68	0
good afternoon	16.68	0
notional quantity	16.68	0
calculation period	16.68	0
financial transaction	16.68	0
credit department	16.68	0
settlement date	16.68	0
product description	16.68	0
term sheet	16.68	0
return email	16.68	0
purchase agreement	16.68	0
project manager	16.68	0
next meeting	16.68	0
common sense	16.68	0
new truck	16.68	0
fuel consumption	16.68	0
year period	16.68	0
page today	16.68	0
initial reaction	16.68	0
slight revision	16.68	0
appropriate confidentiality	16.68	0
fine line	16.68	0
final revision	16.68	0
prompt attention	16.68	0
month lease	16.68	0
new baby	16.68	0
loan transaction	16.68	0
different thing	16.68	0
smart girl	16.68	0
several occasion	16.68	0
internet access	16.68	0
head up	16.68	0
major injury	16.68	0
emergency room	16.68	0
energy market	16.68	0
day side	16.68	0
side trip	16.68	0
legal counsel	16.68	0
day basis	16.68	0
incorrect liquidation	16.68	0
daily p&l	16.68	0
p&l #	16.68	0
end p&l	16.68	0
certain portion	16.68	0
large swing	16.68	0
second order	16.68	0
delta position	16.68	0
liquidation problem	16.68	0
whole issue	16.68	0
sr it	16.68	0
post id	16.68	0
liquidation report	16.68	0
liquidation value	16.68	0
positive liquidation	16.68	0
other day	16.68	0
legal issue	16.68	0
free number	16.68	0
electric generator	16.68	0
product immunity	16.68	0
legal rule	16.68	0
personal invitation	16.68	0
subscription agreement	16.68	0
name change	16.68	0
trading agreement	16.68	0
quarter end	16.68	0
position signoff	16.68	0
screen enquiry	16.68	0
trial balance	16.68	0
reconciling difference	16.68	0
audit timetable	16.68	0
internal balance	16.68	0
sheet review	16.68	0
key position	16.68	0
system p&l	16.68	0
business 23rd	16.68	0
obsf option	16.68	0
year end	16.68	0
q1 dpr	16.68	0
end q1	16.68	0
inventory balance	16.68	0
source documentation	16.68	0
mba program	16.68	0
competitive process	16.68	0
excellent graduate	16.68	0
admission office	16.68	0
monthly call	16.68	0
good point	16.68	0
different rate	16.68	0
service agreement	16.68	0
same request	16.68	0
particular chair	16.68	0
next trip	16.68	0
new market	16.68	0
budget meeting	16.68	0
market power	16.68	0
extensive experience	16.68	0
pipeline system	16.68	0
help desk	16.68	0
desk analyst	16.68	0
analyst job	16.68	0
aviation department	16.68	0
hangar attendant	16.68	0
past knowledge	16.68	0
technology feild	16.68	0
ets technology	16.68	0
technology department	16.68	0
personal use	16.68	0
preseason game	16.68	0
new password	16.68	0
cp id	16.68	0
appropriate step	16.68	0
gcp adjustment	16.68	0
effective date	16.68	0
termination date	16.68	0
end date	16.68	0
contractual currency	16.68	0
own name	16.68	0
counterparty name	16.68	0
afternoon session	16.68	0
social security	16.68	0
other company	16.68	0
execution team	16.68	0
comprehensive list	16.68	0
l/c wording	16.68	0
similar guideline	16.68	0
office tomorrow	16.68	0
settlement proposal	16.68	0
end user	16.68	0
capital project	16.68	0
happy holiday	16.68	0
few point	16.68	0
outside counsel	16.68	0
legal detail	16.68	0
folk review	16.68	0
message point	16.68	0
good comment	16.68	0
drilling project	16.68	0
well head	16.68	0
trading desk	16.68	0
standard isda	16.68	0
bus stop	16.68	0
little girl	16.68	0
first round	16.68	0
vast majority	16.68	0
power form	16.68	0
billing issue	16.68	0
interconnect agreement	16.68	0
final draft	16.68	0
reimbursable interconnect	16.68	0
payment plan	16.68	0
tax gross	16.68	0
gross up	16.68	0
tax department	16.68	0
final copy	16.68	0
metering facility	16.68	0
plan b	16.68	0
late response	16.68	0
telephony group	16.68	0
hotline number	16.68	0
solution center	16.68	0
service rep.	16.68	0
much notification	16.68	0
popup notification	16.68	0
critical message	16.68	0
testing schedule	16.68	0
delivery date	16.68	0
energy grid	16.68	0
energy crisis	16.68	0
power producer	16.68	0
public relation	16.68	0
new plan	16.68	0
federal commission	16.68	0
emergency request	16.68	0
power plant	16.68	0
such action	16.68	0
faith claim	16.68	0
faith proceedings	16.68	0
dispute management	16.68	0
design group	16.68	0
service offering	16.68	0
class action	16.68	0
collective body	16.68	0
new company	16.68	0
network marketing	16.68	0
new category	16.68	0
nutritional product	16.68	0
single serving	16.68	0
compensation plan	16.68	0
term viability	16.68	0
residual income	16.68	0
easy delivery	16.68	0
big toe	16.68	0
supreme consciousness	16.68	0
pocket knife	16.68	0
big company	16.68	0
main reason	16.68	0
front door	16.68	0
p.o. box	16.68	0
comp.sources.unix archive	16.68	0
urgent assistance	16.68	0
revenue source	16.68	0
petroleum asset	16.68	0
news agency	16.68	0
flood water	16.68	0
relief agency	16.68	0
death toll	16.68	0
crude oil	16.68	0
budget request	16.68	0
own webpage	16.68	0
tax payer	16.68	0
payer money	16.68	0
local competition	16.68	0
prize money	16.68	0
young child	16.68	0
trade deal	16.68	0
oil firm	16.68	0
great threat	16.68	0
next decade	16.68	0
universal mind	16.68	0
universal consciousness	16.68	0
deep space	16.68	0
infinite happiness	16.68	0
baba nam	16.68	0
nam kevalam	16.68	0
wordy meaning	16.68	0
gay marriage	16.68	0
family unit	16.68	0
religious group	16.68	0
gender marriage	16.68	0
much power	16.68	0
tragic flaw	16.68	0
numero uno	16.68	0
technological influence	16.68	0
ambitious space	16.68	0
new space	16.68	0
news group	16.68	0
entire letter	16.68	0
edit menu	16.68	0
gray wolf	16.68	0
several people	16.68	0
wolf pack	16.68	0
wolf recovery	16.68	0
endangered species	16.68	0
species list	16.68	0
weekly series	16.68	0
checkerspot butterfly	16.68	0
housing market	16.68	0
group activity	16.68	0
social life	16.68	0
most part	16.68	0
lucky break	16.68	0
career opportunity	16.68	0
spanish priest	16.68	0
white light	16.68	0
rock revolution	16.68	0
moral value	16.68	0
ego trip	16.68	0
promotional end	16.68	0
effeminate manners	16.68	0
bad musician	16.68	0
untalented band	16.68	0
new year	16.68	0
sunni faction	16.68	0
military strength	16.68	0
armored fighting	16.68	0
fighting vehicle	16.68	0
roadside bomb	16.68	0
weapon capability	16.68	0
american economy	16.68	0
dollar reserve	16.68	0
interest rate	16.68	0
price tag	16.68	0
many country	16.68	0
dangerous course	16.68	0
average number	16.68	0
greenhouse gas	16.68	0
mining industry	16.68	0
regulation rollback	16.68	0
approximate number	16.68	0
environmental crime	16.68	0
trust fund	16.68	0
toxic site	16.68	0
site clean	16.68	0
health problem	16.68	0
percentage increase	16.68	0
guard service	16.68	0
staff member	16.68	0
monthly cost	16.68	0
american firm	16.68	0
potable water	16.68	0
iraqi workforce	16.68	0
port security	16.68	0
hard money	16.68	0
tax cut	16.68	0
diplomacy officer	16.68	0
international aid	16.68	0
course search	16.68	0
insulting answer	16.68	0
night life	16.68	0
custom rom	16.68	0
left lead	16.68	0
dead pixel	16.68	0
long exposure	16.68	0
common one	16.68	0
outside cat	16.68	0
litter pan	16.68	0
many friend	16.68	0
gallon tank	16.68	0
hiding place	16.68	0
small tank	16.68	0
large fry	16.68	0
strong puller	16.68	0
modern one	16.68	0
young kid	16.68	0
hamster tomorrow	16.68	0
reservation office	16.68	0
student visa	16.68	0
visa process	16.68	0
good advice	16.68	0
pet rat	16.68	0
warm blanket	16.68	0
easy thing	16.68	0
good steak	16.68	0
amusement park	16.68	0
white bird	16.68	0
pet shop	16.68	0
bait worm	16.68	0
video tutorial	16.68	0
plastic surgeon	16.68	0
dry food	16.68	0
nutritional value	16.68	0
good quality	16.68	0
other stuff	16.68	0
favorite part	16.68	0
gallon nano	16.68	0
nano reef	16.68	0
few question	16.68	0
battery life	16.68	0
american food	16.68	0
good drink	16.68	0
new fish	16.68	0
hand grip	16.68	0
laser grip	16.68	0
semi-automatic wang	16.68	0
baby budgie	16.68	0
phone company	16.68	0
syrian hamster	16.68	0
nice place	16.68	0
old male	16.68	0
urinary tract	16.68	0
male cat	16.68	0
old cat	16.68	0
breyer horse	16.68	0
rat cage	16.68	0
wire flooring	16.68	0
corn snake	16.68	0
heat bulb	16.68	0
bridal shower	16.68	0
lifeboat drill	16.68	0
fun thing	16.68	0
shot burst	16.68	0
m 16	16.68	0
size horse	16.68	0
breeding tank	16.68	0
hide space	16.68	0
pass mark	16.68	0
minimum score	16.68	0
weekly basis	16.68	0
19th century	16.68	0
blood test	16.68	0
professional advice	16.68	0
sussex male	16.68	0
silkie female	16.68	0
hookless feather	16.68	0
soft feather	16.68	0
model girlfriend	16.68	0
distracting element	16.68	0
background element	16.68	0
close attention	16.68	0
irish custom	16.68	0
barn brack	16.68	0
most tourist	16.68	0
rabbit hutch	16.68	0
day time	16.68	0
chicken feed	16.68	0
reasonable melting	16.68	0
halal food	16.68	0
tourist town	16.68	0
medium rat	16.68	0
line up	16.68	0
dog trainer	16.68	0
many tourist	16.68	0
good hotel	16.68	0
good pet	16.68	0
weekly cage	16.68	0
cage cleaning	16.68	0
positive experience	16.68	0
delay birth	16.68	0
small place	16.68	0
private island	16.68	0
north coast	16.68	0
distinguishing factor	16.68	0
busy road	16.68	0
whole house	16.68	0
local restaurant	16.68	0
left leg	16.68	0
white rice	16.68	0
french dating	16.68	0
dating etiquette	16.68	0
heat lamp	16.68	0
first night	16.68	0
vietnamese government	16.68	0
sun ray	16.68	0
pet care	16.68	0
millet spray	16.68	0
early 20s	16.68	0
irish weather	16.68	0
wonder killifish	16.68	0
whole process	16.68	0
medicine vial	16.68	0
incubation water	16.68	0
microscopic critter	16.68	0
water treatment	16.68	0
animated cartoon	16.68	0
video show	16.68	0
family emergency	16.68	0
nerve damage	16.68	0
tooth problem	16.68	0
neurological sign	16.68	0
right lead	16.68	0
muscle atrophy	16.68	0
alternative therapy	16.68	0
lab work	16.68	0
tattoo shop	16.68	0
criminal attorney	16.68	0
old son	16.68	0
great doctor	16.68	0
back pain	16.68	0
happy customer	16.68	0
fantastic place	16.68	0
quality work	16.68	0
graphic design	16.68	0
great selection	16.68	0
wine tasting	16.68	0
fair price	16.68	0
closing time	16.68	0
hair style	16.68	0
lunch special	16.68	0
building contractor	16.68	0
few night	16.68	0
weekend staff	16.68	0
drink list	16.68	0
wrong dish	16.68	0
time ballerina	16.68	0
outstanding service	16.68	0
affordable price	16.68	0
take out	16.68	0
great help	16.68	0
whole thing	16.68	0
good dentist	16.68	0
good location	16.68	0
day charge	16.68	0
reasonable rate	16.68	0
hidden gem	16.68	0
good meal	16.68	0
amazing price	16.68	0
wonderful experience	16.68	0
second chance	16.68	0
thanks guy	16.68	0
specific type	16.68	0
low price	16.68	0
past year	16.68	0
cheap price	16.68	0
fantastic store	16.68	0
other store	16.68	0
printing need	16.68	0
moving company	16.68	0
fabulous job	16.68	0
antique lighting	16.68	0
custom lighting	16.68	0
lobster tail	16.68	0
part department	16.68	0
service department	16.68	0
first class	16.68	0
planning application	16.68	0
cute place	16.68	0
test drive	16.68	0
couple time	16.68	0
great staff	16.68	0
new job	16.68	0
emission test	16.68	0
past weekend	16.68	0
special event	16.68	0
lovely people	16.68	0
little man	16.68	0
style pizza	16.68	0
good quote	16.68	0
other shop	16.68	0
timely manner	16.68	0
towing service	16.68	0
new customer	16.68	0
home inspector	16.68	0
test result	16.68	0
car dealer	16.68	0
drug seeker	16.68	0
extra mile	16.68	0
good review	16.68	0
major award	16.68	0
market leader	16.68	0
state inspection	16.68	0
terrible service	16.68	0
tough time	16.68	0
counseling practice	16.68	0
pho house	16.68	0
sale manager	16.68	0
physical address	16.68	0
small salon	16.68	0
cigarette smoke	16.68	0
professional service	16.68	0
walking distance	16.68	0
good part	16.68	0
dental work	16.68	0
good salsa	16.68	0
car key	16.68	0
next morning	16.68	0
great store	16.68	0
single queen	16.68	0
wonderful service	16.68	0
first room	16.68	0
dissatisfied customer	16.68	0
other patient	16.68	0
great breakfast	16.68	0
first visit	16.68	0
entire staff	16.68	0
full price	16.68	0
ingrown toenail	16.68	0
collection agency	16.68	0
office staff	16.68	0
custom printing	16.68	0
good facility	16.68	0
little motel	16.68	0
foie gras	16.68	0
acupuncture doctor	16.68	0
1st treatment	16.68	0
third visit	16.68	0
room temperature	16.68	0
business owner	16.68	0
sweet potato	16.68	0
potato tempura	16.68	0
tempura roll	16.68	0
other review	16.68	0
real deal	16.68	0
gift certificate	16.68	0
check card	16.68	0
pizza roll	16.68	0
rear tire	16.68	0
client base	16.68	0
rude staff	16.68	0
hotel staff	16.68	0
auto repair	16.68	0
repair shop	16.68	0
social media	16.68	0
wedding guest	16.68	0
second room	16.68	0
sales guy	16.68	0
original piece	16.68	0
locker room	16.68	0
salon experience	16.68	0
poor customer	16.68	0
saintly instructor	16.68	0
good instructor	16.68	0
little restaurant	16.68	0
exact address	16.68	0
minute rate	16.68	0
coffee thing	16.68	0
unique food	16.68	0
warm chocolate	16.68	0
style number	16.68	0
correct tire	16.68	0
syrian border	8.74	0
respected cleric	8.74	0
iraqi authority	8.74	0
terrorist cell	8.74	0
level member	8.74	0
investment firm	8.74	0
bombing target	8.74	0
terror cell	8.74	0
police commander	8.74	0
big jump	8.74	0
cosmetic surgeon	8.74	0
car bomb	8.74	0
shiite population	8.74	0
main difference	8.74	0
assistant dean	8.74	0
past week	8.74	0
iraqi soldier	8.74	0
deputy commander	8.74	0
iraqi army	8.74	0
army uniform	8.74	0
arab clan	8.74	0
sunni observer	8.74	0
arab guerrilla	8.74	0
party list	8.74	0
civil office	8.74	0
legal grounds	8.74	0
shiite list	8.74	0
many seat	8.74	0
new parliament	8.74	0
same right	8.74	0
key eyewitness	8.74	0
several area	8.74	0
night curfew	8.74	0
american troops	8.74	0
same position	8.74	0
